;TargetFeature;InputFeature;BestAlgorithm;R^2;Accuracy;TestSampleSizePerValue
16;strengths_translation_disgustCategory;3| 5| 16| 17| 19| 21| 23| 24| 35| 37| 38| 40| 42| 48| 49| 55| 56| 59| 61| 64| 74| 76| 78| 79| 100| 105| 112| 114| 117| 134| 142;Logistic Regression;-0,41666666666666674;0,6470588235294118;8,0
17;strengths_translation_angerCategory;3| 5| 9| 15| 16| 17| 19| 20| 21| 22| 23| 26| 28| 29| 32| 34| 35| 37| 38| 40| 41| 42| 48| 49| 50| 52| 55| 57| 59| 64| 93| 98| 100| 104| 110| 115| 133| 136| 139| 142| job_status_employed_parttime| job_status_employed_fulltime| job_position_untere Führungsstufe (z.B. Teamleitung)| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| educational_achievement_Bachelor;KNN Classifier, Degree: 4;0,33333333333333337;0,8333333333333334;9,0
18;utilization_translation_sentimentCategory;2| 10| 13| 33| 37| 40| 49| 55| 61| 63| 79| 89| 94| 100| 146| job_position_Sachbearbeiter/-in;KNN Classifier, Degree: 8;-0,636363636363636;0,6111111111111112;9,0
19;utilization_translation_sadnessCategory;neurotizismusCategory| 14| 22| 28| 50| 65| 68| 95| 126| 129| 135| job_position_Sachbearbeiter/-in| job_position_untere Führungsstufe (z.B. Teamleitung)| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen;Gaussian Naive Bayes;-0,24444444444444446;0,7083333333333334;12,0
20;utilization_translation_joyCategory;78| 81| 99| 135| registration_ageKat_20-29| educational_achievement_Berufliche Grundbildung| educational_achievement_Höhere Fachschule lusive Nachdiplome;KNN Classifier, Degree: 4;-0,2428571428571431;0,6896551724137931;14,0
21;utilization_translation_fearCategory;10| 27| 31| 36| 52| 53| 54| 56| 63| 67| 81| 89| 95| 134| 136| 144| job_position_untere Führungsstufe (z.B. Teamleitung);KNN Classifier, Degree: 9;0,3142857142857144;0,8333333333333334;12,0
22;utilization_translation_disgustCategory;9| 123| 130| 131| 137| 139| educational_achievement_Höhere Fach- und Berufsausbildung mit eidg. Fachausweis, eidg. Diplom oder Meisterdiplom, Höhere Fachschule für Technik;KNN Classifier, Degree: 9;0,5555555555555556;0,8888888888888888;9,0
23;utilization_translation_angerCategory;"neurotizismusCategory| 4| 8| 9| 11| 12| 14| 39| 43| 46| 47| 58| 60| 65| 75| 78| 100| 112| 127| 135| job_sector_Information und Kommunikation| job_sector_Öffentliche Verwaltung, Verteidigung; Sozialversicherung| educational_achievement_Berufliche Grundbildung";KNN Classifier, Degree: 3;-0,1499999999999997;0,7391304347826086;11,0
24;story_translation_sentimentCategory;3| 4| 5| 8| 13| 16| 17| 19| 23| 32| 34| 35| 42| 48| 51| 58| 60| 68| 77| 80| 95| 108| 113| 115| 123| 133| company_size_250.0| human| animal| nature;Random Forest Classifier;0,11111111111111116;0,7777777777777778;9,0
25;story_translation_sadnessCategory;4| 10| 14| 28| 50| 58| 63| 65| 70| 74| 78| 102| 104| 110| 118| 131| 135| 140| work_district_AG| job_sector_Gesundheits- und Sozialwesen| educational_achievement_Höhere Fach- und Berufsausbildung mit eidg. Fachausweis, eidg. Diplom oder Meisterdiplom, Höhere Fachschule für Technik| human| food;KNN Classifier, Degree: 3;-0,24444444444444446;0,7083333333333334;12,0
26;story_translation_joyCategory;3| 5| 10| 14| 16| 17| 19| 21| 23| 24| 26| 28| 32| 33| 34| 35| 36| 37| 38| 40| 41| 42| 48| 49| 50| 51| 55| 56| 59| 61| 63| 64| 65| 72| 75| 80| 84| 86| 88| 101| 102| 103| 106| 115| 117| 133| 139| 146| registration_ageKat_50-59| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| company_size_249.0| company_size_250.0| nature| mobility;Logistic Regression;0,06493506493506507;0,7777777777777778;9,0
27;story_translation_fearCategory;1| 2| 4| 6| 7| 8| 9| 11| 12| 18| 25| 30| 39| 43| 44| 45| 46| 47| 58| 60| 68| 78| 82| 84| 92| 95| 97| 114| 115| 123| 125| 128| 141| 144| job_status_employed_parttime| job_status_employed_fulltime| job_position_Sachbearbeiter/-in| company_size_250.0| educational_achievement_Höhere Fachschule lusive Nachdiplome| human| animal| nature;KNN Classifier, Degree: 8;0,29166666666666663;0,8235294117647058;8,0
28;story_translation_disgustCategory;offenheitCategory| 4| 58| 74| 78| 84| 86| 88| 95| 101| 115| 132| job_status_employed_fulltime| job_status_selfemployed| work_district_AG| job_position_Fachspezialist/-in| company_size_9.0| company_size_249.0| nature;SVC (linear);0,3028846153846153;0,8275862068965517;14,0
29;story_translation_angerCategory;"4| 35| 48| 58| 74| 78| 88| 93| 95| 100| 101| 102| 103| 111| 115| 123| 131| job_status_employed_fulltime| work_district_AG| job_sector_Öffentliche Verwaltung, Verteidigung; Sozialversicherung| educational_achievement_Höhere Fach- und Berufsausbildung mit eidg. Fachausweis, eidg. Diplom oder Meisterdiplom, Höhere Fachschule für Technik| human| nature";SVC (linear);-0,08333333333333326;0,7307692307692307;13,0
