;user_id;gender;registration_ageKat;country;work_country;work_district;job_position;job_sector;company_size;job_status_edu_parttime;job_status_edu_fulltime;job_status_employed_parttime;job_status_employed_fulltime;job_status_selfemployed;job_status_houskeeping;job_status_unemployed;job_status_retired;educational_achievement
46;5861110a05b8c56bfc398133;f;40-49;CH;CH;ZH;Fachspezialist/-in;Erbringung von Finanz- und Versicherungsdienstleistungen;250.0;1,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;Bachelor
51;58b961e205b8c538fcee1e96;f;20-29;CH;CH;ZH;Sachbearbeiter/-in;Gesundheits- und Sozialwesen;250.0;1,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;Bachelor
52;58c7d1c705b8c563d31d0079;m;30-39;CH;CH;ZH;untere Führungsstufe (z.B. Teamleitung);Kunst, Unterhaltung und Erholung;1.0;0,0;0,0;1,0;0,0;1,0;0,0;0,0;0,0;Master, Lizentiat, Diplom, Staatsexamen, Nachdiplom
53;59120ea105b8c54573ea7a60;m;50-59;CH;CH;AG;Fachspezialist/-in;Erziehung und Unterricht;250.0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;Master, Lizentiat, Diplom, Staatsexamen, Nachdiplom
54;591304cc05b8c55e9a2995b0;m;30-39;CH;CH;SG;mittlere Führungsstufe (z.B. Abteilungs- / Bereichsleitung);Erziehung und Unterricht;49.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Bachelor
56;5989f7e505b8c54a15080be9;f;40-49;CH;CH;LU;Fachspezialist/-in;Erziehung und Unterricht;49.0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;Master, Lizentiat, Diplom, Staatsexamen, Nachdiplom
57;5990ab9005b8c50292f69e32;m;50-59;CH;CH;SG;Fachspezialist/-in;Erbringung von Finanz- und Versicherungsdienstleistungen;250.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Höhere Fach- und Berufsausbildung mit eidg. Fachausweis, eidg. Diplom oder Meisterdiplom, Höhere Fachschule für Technik
58;59c4d24c05b8c5325e224c45;f;40-49;DE;CH;ZH;Sachbearbeiter/-in;"Öffentliche Verwaltung, Verteidigung; Sozialversicherung";249.0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;Master, Lizentiat, Diplom, Staatsexamen, Nachdiplom
61;5a105ca005b8c5737e894ada;m;40-49;CH;CH;TG;mittlere Führungsstufe (z.B. Abteilungs- / Bereichsleitung);"Öffentliche Verwaltung, Verteidigung; Sozialversicherung";250.0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Höhere Fach- und Berufsausbildung mit eidg. Fachausweis, eidg. Diplom oder Meisterdiplom, Höhere Fachschule für Technik
63;5a1fc3c405b8c5066b5c58e0;f;40-49;CH;CH;SG;Sachbearbeiter/-in;Gesundheits- und Sozialwesen;49.0;1,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;Bachelor
66;5a5a871105b8c553e9ce83af;m;30-39;CH;CH;BE;Fachspezialist/-in;Energieversorgung;250.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Bachelor
67;5a5bb13505b8c55957109d50;f;30-39;CH;CH;BS;Sachbearbeiter/-in;Erbringung von sonstigen Dienstleistungen;49.0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;Berufs- oder Fachmaturität
68;5a92be9005b8c53cf6a4a031;m;40-49;CH;CH;BE;untere Führungsstufe (z.B. Teamleitung);Information und Kommunikation;250.0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;Master, Lizentiat, Diplom, Staatsexamen, Nachdiplom
71;5aa656fb05b8c53eefd5f825;m;20-29;CH;CH;ZH;Sachbearbeiter/-in;Erbringung von Finanz- und Versicherungsdienstleistungen;250.0;1,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;Bachelor
72;5aa6770005b8c50b621ca4e9;f;30-39;CH;CH;ZH;untere Führungsstufe (z.B. Teamleitung);Erbringung von Finanz- und Versicherungsdienstleistungen;250.0;1,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;Bachelor
75;5b0c11d805b8c5626de95930;m;40-49;CH;CH;TG;obere Führungsstufe (z.B. Geschäftsleitung / CEO);Erbringung von sonstigen Dienstleistungen;9.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Master, Lizentiat, Diplom, Staatsexamen, Nachdiplom
76;5b0ce6f205b8c53f8ddfddaa;f;30-39;CH;CH;GR;Sachbearbeiter/-in;Erbringung von sonstigen Dienstleistungen;9.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Höhere Fach- und Berufsausbildung mit eidg. Fachausweis, eidg. Diplom oder Meisterdiplom, Höhere Fachschule für Technik
77;5b1acdbb05b8c537f205643e;f;40-49;CH;CH;ZH;untere Führungsstufe (z.B. Teamleitung);Gesundheits- und Sozialwesen;250.0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;Master, Lizentiat, Diplom, Staatsexamen, Nachdiplom
79;5b3268ef05b8c546ff365c86;m;10-19;CH;CH;BS;Fachspezialist/-in;Erbringung von Finanz- und Versicherungsdienstleistungen;250.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Master, Lizentiat, Diplom, Staatsexamen, Nachdiplom
80;5b4841a505b8c54620301b7c;m;30-39;CH;CH;ZH;Sachbearbeiter/-in;"Öffentliche Verwaltung, Verteidigung; Sozialversicherung";250.0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;Doktorat, Habilitation
81;5b4f14b705b8c50340a5fe96;m;30-39;CH;CH;ZH;untere Führungsstufe (z.B. Teamleitung);Information und Kommunikation;249.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Bachelor
82;5b5f36d005b8c55a9bdaa2bb;m;30-39;CH;CH;SZ;untere Führungsstufe (z.B. Teamleitung);Erbringung von Finanz- und Versicherungsdienstleistungen;250.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Höhere Fach- und Berufsausbildung mit eidg. Fachausweis, eidg. Diplom oder Meisterdiplom, Höhere Fachschule für Technik
84;5b8e56e605b8c504e037bbe2;f;30-39;DE;CH;ZH;Fachspezialist/-in;Erbringung von sonstigen Dienstleistungen;49.0;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;Master, Lizentiat, Diplom, Staatsexamen, Nachdiplom
85;5baa6dc405b8c52c8e4e11e9;f;30-39;CH;CH;AG;untere Führungsstufe (z.B. Teamleitung);Gesundheits- und Sozialwesen;250.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Höhere Fachschule lusive Nachdiplome
86;5bb7bc3905b8c529854dbcde;f;40-49;CH;CH;ZH;Fachspezialist/-in;Verkehr und Lagerei;250.0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;Höhere Fach- und Berufsausbildung mit eidg. Fachausweis, eidg. Diplom oder Meisterdiplom, Höhere Fachschule für Technik
89;5bcc5e8105b8c565b7a2f42f;f;40-49;CH;CH;ZH;Fachspezialist/-in;Erbringung von sonstigen Dienstleistungen;249.0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;Bachelor
90;5bcd5d3505b8c50f6399e2e3;f;30-39;CH;CH;GR;untere Führungsstufe (z.B. Teamleitung);Gesundheits- und Sozialwesen;49.0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;Bachelor
91;5bd1585805b8c52a505eadf7;f;30-39;CH;CH;AG;Sachbearbeiter/-in;"Öffentliche Verwaltung, Verteidigung; Sozialversicherung";250.0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;Bachelor
92;5bd1ddd405b8c52a505ebdd4;f;30-39;CH;CH;ZH;untere Führungsstufe (z.B. Teamleitung);"Öffentliche Verwaltung, Verteidigung; Sozialversicherung";250.0;1,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;Höhere Fach- und Berufsausbildung mit eidg. Fachausweis, eidg. Diplom oder Meisterdiplom, Höhere Fachschule für Technik
93;5bd2d46105b8c53cb892ba10;f;20-29;CH;CH;ZH;untere Führungsstufe (z.B. Teamleitung);Gastgewerbe/Beherbergung und Gastronomie;49.0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;Bachelor
94;5bd5fa2305b8c5297ee3667b;f;40-49;CH;CH;BL;Fachspezialist/-in;Gesundheits- und Sozialwesen;250.0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;Bachelor
95;5bd6c93c05b8c53192dc8883;f;50-59;CH;LI;07;untere Führungsstufe (z.B. Teamleitung);Erbringung von sonstigen Dienstleistungen;49.0;1,0;0,0;1,0;0,0;1,0;0,0;0,0;0,0;Bachelor
96;5bd7505c05b8c53192dc904e;f;20-29;CH;CH;AG;Sachbearbeiter/-in;Erbringung von sonstigen wirtschaftlichen Dienstleistungen;49.0;1,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;Bachelor
98;5bdd5d3205b8c56b3efd9329;m;30-39;CH;CH;AG;Fachspezialist/-in;Energieversorgung;250.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Höhere Fach- und Berufsausbildung mit eidg. Fachausweis, eidg. Diplom oder Meisterdiplom, Höhere Fachschule für Technik
99;5bdd93c805b8c56b3efd9599;f;30-39;RS;CH;BS;Fachspezialist/-in;Erbringung von freiberuflichen, wissenschaftlichen und technischen Dienstleistungen;250.0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Doktorat, Habilitation
103;5be5d91f05b8c568fad493f7;m;30-39;CH;CH;AG;Fachspezialist/-in;Information und Kommunikation;249.0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;Höhere Fach- und Berufsausbildung mit eidg. Fachausweis, eidg. Diplom oder Meisterdiplom, Höhere Fachschule für Technik
104;5be888f205b8c57fe92ba9dc;m;30-39;CH;CH;BL;untere Führungsstufe (z.B. Teamleitung);Verarbeitendes Gewerbe/Herstellung von Waren;249.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Master, Lizentiat, Diplom, Staatsexamen, Nachdiplom
105;5beb48fb05b8c54e70a868e5;f;30-39;CH;CH;ZH;Sachbearbeiter/-in;Gesundheits- und Sozialwesen;250.0;1,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;Bachelor
106;5bee8eea05b8c56863fca3ff;m;40-49;CH;CH;ZH;mittlere Führungsstufe (z.B. Abteilungs- / Bereichsleitung);Information und Kommunikation;250.0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Höhere Fach- und Berufsausbildung mit eidg. Fachausweis, eidg. Diplom oder Meisterdiplom, Höhere Fachschule für Technik
107;5c1c8d739fdb053328587e72;m;50-59;CH;CH;TG;Fachspezialist/-in;"Öffentliche Verwaltung, Verteidigung; Sozialversicherung";250.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Master, Lizentiat, Diplom, Staatsexamen, Nachdiplom
110;5c486dd79fdb0503184fc4b3;f;40-49;CH;CH;ZH;Fachspezialist/-in;Gastgewerbe/Beherbergung und Gastronomie;249.0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;Bachelor
111;5c4f30ff9fdb0501ec3af6c1;m;50-59;CH;CH;ZH;untere Führungsstufe (z.B. Teamleitung);Erbringung von Finanz- und Versicherungsdienstleistungen;250.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Höhere Fach- und Berufsausbildung mit eidg. Fachausweis, eidg. Diplom oder Meisterdiplom, Höhere Fachschule für Technik
113;5c4f31029fdb0501ec3af6cc;m;30-39;CH;CH;ZG;untere Führungsstufe (z.B. Teamleitung);Erbringung von Finanz- und Versicherungsdienstleistungen;250.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Höhere Fach- und Berufsausbildung mit eidg. Fachausweis, eidg. Diplom oder Meisterdiplom, Höhere Fachschule für Technik
115;5c6a57e89fdb0539ddb1806b;m;50-59;CH;CH;SG;mittlere Führungsstufe (z.B. Abteilungs- / Bereichsleitung);Verarbeitendes Gewerbe/Herstellung von Waren;249.0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;Bachelor
116;5c6d59209fdb052bd4e50fd1;f;30-39;CH;CH;ZH;mittlere Führungsstufe (z.B. Abteilungs- / Bereichsleitung);Erziehung und Unterricht;249.0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;Master, Lizentiat, Diplom, Staatsexamen, Nachdiplom
117;5c6e7fa29fdb052302c38e58;m;20-29;CH;CH;ZH;Fachspezialist/-in;Baugewerbe/Bau;49.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Berufliche Grundbildung
120;5c75a4b09fdb053414aa71e1;f;20-29;AT;AT;8;mittlere Führungsstufe (z.B. Abteilungs- / Bereichsleitung);Information und Kommunikation;9.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Bachelor
121;5c76344e9fdb054ecf545000;f;30-39;CH;CH;GR;Fachspezialist/-in;Erbringung von Finanz- und Versicherungsdienstleistungen;250.0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;Bachelor
124;5c76a5589fdb05277034bd96;f;40-49;CH;CH;AG;Fachspezialist/-in;"Öffentliche Verwaltung, Verteidigung; Sozialversicherung";249.0;1,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;Bachelor
125;5c76a8fa9fdb05277034bdf3;f;20-29;CH;CH;BE;Fachspezialist/-in;Erbringung von sonstigen Dienstleistungen;9.0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;Bachelor
126;5c76a9339fdb05277034bdf6;f;20-29;CH;CH;ZH;Fachspezialist/-in;Gesundheits- und Sozialwesen;249.0;1,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;Bachelor
138;5c7d2bb69fdb055f1d967da8;f;30-39;CH;CH;BE;untere Führungsstufe (z.B. Teamleitung);Erbringung von freiberuflichen, wissenschaftlichen und technischen Dienstleistungen;9.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Bachelor
145;5c82b2629fdb0557cbeea044;m;50-59;CH;CH;ZH;mittlere Führungsstufe (z.B. Abteilungs- / Bereichsleitung);Gesundheits- und Sozialwesen;249.0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;Master, Lizentiat, Diplom, Staatsexamen, Nachdiplom
151;5c880e769fdb052788f2b6ad;f;30-39;CH;CH;ZH;obere Führungsstufe (z.B. Geschäftsleitung / CEO);Erbringung von sonstigen wirtschaftlichen Dienstleistungen;49.0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Bachelor
162;5c8a981b9fdb056797c02dc7;f;10-19;DE;CH;AI;Sachbearbeiter/-in;Gastgewerbe/Beherbergung und Gastronomie;249.0;0,0;1,0;0,0;1,0;0,0;0,0;0,0;0,0;Berufliche Grundbildung
164;5c8b73f49fdb0540f29b7b04;m;10-19;CH;CH;LU;Sachbearbeiter/-in;Gesundheits- und Sozialwesen;9.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Gymnasiale Maturität, Lehrkräfte-Seminar
165;5c8b99859fdb0540f29b7d5e;m;20-29;CH;CH;ZH;Sachbearbeiter/-in;Erbringung von sonstigen wirtschaftlichen Dienstleistungen;249.0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;Berufliche Grundbildung
172;5c9542b09fdb053780122da7;f;30-39;CH;CH;ZH;Fachspezialist/-in;Erziehung und Unterricht;249.0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;Bachelor
178;5c98a27c9fdb05239021ed46;f;50-59;CH;CH;ZH;obere Führungsstufe (z.B. Geschäftsleitung / CEO);Gesundheits- und Sozialwesen;49.0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;Master, Lizentiat, Diplom, Staatsexamen, Nachdiplom
182;5c98ef659fdb05239021f67e;m;40-49;CH;CH;ZH;Fachspezialist/-in;"Öffentliche Verwaltung, Verteidigung; Sozialversicherung";250.0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;Höhere Fach- und Berufsausbildung mit eidg. Fachausweis, eidg. Diplom oder Meisterdiplom, Höhere Fachschule für Technik
184;5c9a052a9fdb050adab8aff5;m;40-49;CH;CH;ZH;Sachbearbeiter/-in;Gesundheits- und Sozialwesen;9.0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;Bachelor
186;5c9b8cd59fdb0575c37bd920;m;40-49;CH;CH;SG;Fachspezialist/-in;Erbringung von Finanz- und Versicherungsdienstleistungen;250.0;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;Höhere Fachschule lusive Nachdiplome
187;5c9b8cd69fdb0575c37bd924;m;30-39;CH;CH;GR;Sachbearbeiter/-in;Erbringung von Finanz- und Versicherungsdienstleistungen;250.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Berufliche Grundbildung
189;5c9b8cd99fdb0575c37bd930;m;40-49;CH;CH;SG;Fachspezialist/-in;Erbringung von Finanz- und Versicherungsdienstleistungen;250.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Berufliche Grundbildung
197;5c9c7cd29fdb051b92f235b6;m;30-39;CH;CH;ZH;obere Führungsstufe (z.B. Geschäftsleitung / CEO);Erbringung von sonstigen Dienstleistungen;250.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Höhere Fach- und Berufsausbildung mit eidg. Fachausweis, eidg. Diplom oder Meisterdiplom, Höhere Fachschule für Technik
199;5c9cf6b29fdb051b92f23eb3;m;30-39;CH;CH;ZH;Sachbearbeiter/-in;Gesundheits- und Sozialwesen;250.0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;Berufs- oder Fachmaturität
201;5c9cfb739fdb051b92f23f10;f;30-39;CH;CH;ZG;mittlere Führungsstufe (z.B. Abteilungs- / Bereichsleitung);Gesundheits- und Sozialwesen;250.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Bachelor
202;5c9cfbd99fdb051b92f23f16;f;30-39;NL;CH;ZH;untere Führungsstufe (z.B. Teamleitung);Gesundheits- und Sozialwesen;249.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Höhere Fachschule lusive Nachdiplome
203;5c9cfc229fdb051b92f23f1c;m;30-39;CH;CH;ZH;untere Führungsstufe (z.B. Teamleitung);Erbringung von freiberuflichen, wissenschaftlichen und technischen Dienstleistungen;49.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Bachelor
206;5c9cfd0d9fdb051b92f23f2e;m;40-49;CH;CH;BE;mittlere Führungsstufe (z.B. Abteilungs- / Bereichsleitung);"Öffentliche Verwaltung, Verteidigung; Sozialversicherung";49.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Master, Lizentiat, Diplom, Staatsexamen, Nachdiplom
207;5c9cfd4a9fdb051b92f23f34;f;30-39;CH;CH;ZH;mittlere Führungsstufe (z.B. Abteilungs- / Bereichsleitung);Information und Kommunikation;250.0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;Bachelor
212;5c9e47479fdb0542a245a93f;m;40-49;DE;CH;BE;obere Führungsstufe (z.B. Geschäftsleitung / CEO);Erbringung von Finanz- und Versicherungsdienstleistungen;49.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Bachelor
217;5ca4d5259fdb052420335959;m;20-29;CH;CH;SH;mittlere Führungsstufe (z.B. Abteilungs- / Bereichsleitung);Erbringung von Finanz- und Versicherungsdienstleistungen;249.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Höhere Fach- und Berufsausbildung mit eidg. Fachausweis, eidg. Diplom oder Meisterdiplom, Höhere Fachschule für Technik
223;5caa31579fdb052f224daaad;f;30-39;CH;CH;BE;Sachbearbeiter/-in;Gesundheits- und Sozialwesen;249.0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;Berufliche Grundbildung
224;5cab21749fdb054d045b75c5;m;50-59;DE;CH;ZH;Fachspezialist/-in;Verarbeitendes Gewerbe/Herstellung von Waren;250.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Master, Lizentiat, Diplom, Staatsexamen, Nachdiplom
226;5cac35a49fdb0575b08758f2;f;20-29;CH;CH;ZH;Sachbearbeiter/-in;Erbringung von sonstigen Dienstleistungen;249.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Bachelor
227;5cac40599fdb0575b087593b;m;50-59;CH;CH;ZH;mittlere Führungsstufe (z.B. Abteilungs- / Bereichsleitung);Energieversorgung;250.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Master, Lizentiat, Diplom, Staatsexamen, Nachdiplom
228;5cac64af9fdb0575b0875d6c;m;30-39;CH;CH;BS;Fachspezialist/-in;Erbringung von Finanz- und Versicherungsdienstleistungen;250.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Höhere Fachschule lusive Nachdiplome
241;5cb0415b9fdb051c8e89423e;f;40-49;CH;CH;BS;Fachspezialist/-in;Gesundheits- und Sozialwesen;9.0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;Berufliche Grundbildung
242;5cb0619d9fdb051c8e894365;m;50-59;CH;CH;ZH;untere Führungsstufe (z.B. Teamleitung);Erbringung von Finanz- und Versicherungsdienstleistungen;250.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Höhere Fach- und Berufsausbildung mit eidg. Fachausweis, eidg. Diplom oder Meisterdiplom, Höhere Fachschule für Technik
243;5cb0705d9fdb051c8e894459;m;20-29;CH;CH;GR;Fachspezialist/-in;Erbringung von Finanz- und Versicherungsdienstleistungen;250.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Bachelor
245;5cb18e339fdb053acf8a9a03;m;50-59;CH;CH;ZH;Fachspezialist/-in;Erbringung von sonstigen Dienstleistungen;250.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Berufliche Grundbildung
248;5cb422be9fdb0501e57bce34;f;30-39;DE;CH;SO;Fachspezialist/-in;Verarbeitendes Gewerbe/Herstellung von Waren;250.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Master, Lizentiat, Diplom, Staatsexamen, Nachdiplom
249;5cb436a49fdb0501e57bcfd6;f;20-29;CH;CH;SG;Sachbearbeiter/-in;"Öffentliche Verwaltung, Verteidigung; Sozialversicherung";9.0;1,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;Bachelor
253;5cb57f389fdb0522bfa5df0c;f;20-29;CH;CH;AG;Sachbearbeiter/-in;"Öffentliche Verwaltung, Verteidigung; Sozialversicherung";249.0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;Berufliche Grundbildung
257;5cb713ce9fdb051539b207b5;f;30-39;CH;CH;ZH;mittlere Führungsstufe (z.B. Abteilungs- / Bereichsleitung);Erziehung und Unterricht;250.0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;Doktorat, Habilitation
258;5cb714d69fdb051539b207bd;m;30-39;CH;CH;ZH;Fachspezialist/-in;Erziehung und Unterricht;250.0;1,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;Master, Lizentiat, Diplom, Staatsexamen, Nachdiplom
259;5cb738219fdb0547af31d1c8;f;50-59;CH;CH;ZH;Fachspezialist/-in;Erbringung von sonstigen Dienstleistungen;250.0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;Bachelor
260;5cb770ae9fdb054ad9a2badd;m;40-49;CH;CH;SG;Fachspezialist/-in;Verarbeitendes Gewerbe/Herstellung von Waren;249.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Höhere Fach- und Berufsausbildung mit eidg. Fachausweis, eidg. Diplom oder Meisterdiplom, Höhere Fachschule für Technik
271;5cc5f6189fdb053dce049561;f;30-39;CH;CH;BS;Fachspezialist/-in;Erbringung von Finanz- und Versicherungsdienstleistungen;249.0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;Höhere Fach- und Berufsausbildung mit eidg. Fachausweis, eidg. Diplom oder Meisterdiplom, Höhere Fachschule für Technik
272;5cc6a50a9fdb055ae9f41384;m;40-49;CH;CH;ZG;mittlere Führungsstufe (z.B. Abteilungs- / Bereichsleitung);"Handel; Instandhaltung und Reparatur von Kraftfahrzeugen";249.0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;Höhere Fach- und Berufsausbildung mit eidg. Fachausweis, eidg. Diplom oder Meisterdiplom, Höhere Fachschule für Technik
274;5cc6eafd9fdb055ae9f41934;f;30-39;GR;CH;ZH;Sachbearbeiter/-in;Erbringung von sonstigen wirtschaftlichen Dienstleistungen;9.0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;Bachelor
