;user_id;file_name;reasons;emotions;strengths;utilization;story
16;58d542de05b8c52631703bec;34_Paar_mit_Kuh_im_Sonnenuntergang.jpg;Freiheit, Zufriedenheit, Schönheit der Natur, Sinnhaftigkeit;Freude, Glück, Zufriedenheit, Heimat, Liebe, Gemeinsam;Natur Stimmung der Wolken, Kühe,  Ruhe, zwei Menschen mit Liebe verbunden, Genuss des Lebens;sich im Alltag immer wieder an diesen Oasen auftanken;
17;5583e7937a68616fe90077fa;29_Sonnenaufgang_ueber_dem_Nebelmeer.jpg;;;;;
18;58da1e1a05b8c5305f655695;8_Sonnenuntergang_am_Strand.jpg;noch einmal kurz rauspaddeln für ein paar wellen vor sonnenuntergang;innere ruhe und gleichzeitig vorfreude und anspannung;das denken an den salzgeschnmack im kühlen meer und dle sonnenstrahlen auf dem gesicht;an den naechsten urlaub in sardinien denken und sich vorfreuen. bald geht es los!;
19;58cbb5e905b8c55465ef4841;13_Zelt.jpg;Zelten auf 2'500müM im Tessin mit Familie (Vater + Sohn), Strahlen (Kristalle suchen) = Adventure und Familie;Glücksgefühl, Freude, Freiheit, es öffnet meine Sinne und bringt Entspannung;Freiheit: ich / wir und die Natur, keine Zwänge, Gefühl von nahe bei der Natur zu sein resp. bei mir, Strahlen als aufregendes Hobby. Das Bild erinnert mich an unsere Strahlertage im Tessin, unterwegs mit dem Zelt (blaues Zelt, grüne Wiese, Berge);zur Entspannung, Motivation es zu wiederholen. Ausgleich zu den gesellschaftlichen und beruflichen Zwängen (work load, Geschwindigkeit), Entschleunigung;
20;5583e85d7a68616fe900a37b;27_Steg_mit_Fischer.jpg;Stille über dem See, die Sonne geht auf, das Wasser ist ruhig und ein schöner Tag bricht an;Ruhe ;Das Sein am Wasser bringt mir viel Erholung, Ruhe und wärmt mein Herz;Ich kann an den See fahren, Bilder als Anker setzen;
21;58e7a7d205b8c561bb32fa36;45_Mann_mit_Kind_an_der_Hand.jpg;Meine aktuelle Situation, Den Spagat zwischen Famiele und Berufsleben;Angenehm und positiv emotional;Vater und Sohn;Meine Familie ist momentan mein Ausgleich zum Berufsleben;
22;58e7a61605b8c561bb32fa22;40_Skihuette_in_der_blauen_Stunde.jpg;Skiferien!!!;Spass, aktive Erholung, Familie, Gemütlichkeit, Après-Ski;Erinnerung an Skiferien mit der Familie - Natur, Ruhe, Erholung, Energie tanken, Gemütlichkeit, innerer Frieden finden;In der Natur (im Freien) kann ich Erholung finden und Energie tanken;
23;58e7a57205b8c561bb32fa12;66_Lokomotive.jpg;Eine super Kombination zwischen einem Personen-Team und Technik;Eine gemeinsame Produktion für das Wohl unserer Mitmenschen;Freude, Begeisterung und Erlebnis in einer Kombination.;Augen offen halten und die Energie am rechten Ort einsetzen.;
24;58f5c24305b8c559c38cd5d8;29_Sonnenaufgang_ueber_dem_Nebelmeer.jpg;flauschig weite warm;;;;
25;561ceefd9f168a65bb000203;47_Farbtuben.jpg;farbig, ausprobieren, kreativ, neu, entdecken, Spass, dynamisch;Freude;Kind sein, Unbeschwertheit, Neugier, Neues entdecken / lernen, Spass haben, lachen, mit Freunden;positive Lebenseinstellung behalten;
26;58fc207405b8c57bf62bb3c9;29_Sonnenaufgang_ueber_dem_Nebelmeer.jpg;;;;;
27;5583e5757a68616fe9000889;49_Wegweiser.jpg;;;;;
28;58ff3d7505b8c5282f078f8c;50_Sonne_bricht_durch.jpg; ; ; ; ;
29;5901a70805b8c56ba66b011d;17_Biker_ueber_dem_Nebelmeer.jpg;Bewegung, alleine über dem Nebel, frische Luft;Glück, Kraft;Positive Energie im Körper, Hindernisse (Berg) bewältigen, gutes Körpergefühl, Selbstvertrauen, Sorgen unter dem Nebel;Aufbau der Selbständigkeit;
30;58d8d86505b8c50c7bc33525;2_Spuren_im_Sand.jpg;Wohin dieser Weg wohl führt? Da scheint jemand auf ein bestimmtes Ziel hinzugehen.;Neugier, Ruhe, Hoffnung;Es zeigt den Anfang eines Weges. Es geht weiter. Die Spur sieht zielstrebig aus.;Ich habe selber einen Weg begonnen. Das Bild zeigt, dass einem ersten schritt nächste folgen.;
31;59044df605b8c517dc8c1fbd;14_Mitternachtssonne_Ausblick.jpg;Norwegen, Reisen, Wandern frische Luft;Ruhe, Freiheit, Entdecken;Natur und Ruhe;Als Insel;
32;5903912305b8c535c6d8ecdc;21_Wasserspiegelung.jpg;Spannende Farben, nicht genau wissen was es ist, schöne Formen, unerwartet;Kreativität, Naturüberraschung, Liebe für Wasser, ;Nicht alltägliche Kombinationen von den Farben und Formen, die Harmonie im Chaos, die Assymetrie;Spüre und lebe deine Kreativität;
33;58de36e705b8c55a446bbf6c;22_Aufbrechendes_Eis.jpg;;;;;
34;59097cae05b8c5235243ae7f;45_Mann_mit_Kind_an_der_Hand.jpg;Familie, schöne Zeit;Vertrauen, Geborgenheit;Rückhalt (Familie), Unterstützung, sich gegenseitig helfen;Familie hält immer zusammen, ist immer da.;
35;590a0c3005b8c5235243b849;6_Pferd.jpg;;;;;
36;590ee9e205b8c52f0269bece;14_Mitternachtssonne_Ausblick.jpg;Weite, Einsamkeit, Ferien, Abenteuer, Entspannung, Natur;Ruhe, glücklich sein;;;
37;5583e8837a68616fe900ab30;14_Mitternachtssonne_Ausblick.jpg;Weitblick, Klarheit, Überblick, Wärme, Weitsicht, Distanz, Morgenkraft, Tagesanbruch, Tag lädt ein aktiv zu werden, ;Unternehmungslust, Lust auf Entdecken, Zuversicht, Vertrauen in den Tag und seine Kräfte, Lust auf Neues;"die Ruhe, das Betrachten aus Distanz, die innere Ruhe und das innere Vertrauen in die Natur; Wissen, dass das Leben viel Schönes bietet";Immer wieder in die Ruhe kommen und mit etwas Distanz die Dinge betrachten.Sich Zeit nehmen, den Tag in Ruhe anzugehen und zu planen, im Vertrauen, dass es gut kommt. Eines nach dem anderen tun. Sich immer zuerst in Ruhe den Überblick verschaffen.;
38;58de19a705b8c55a446bbdc6;21_Wasserspiegelung.jpg;Marmor, Kreation, Ungewissheit, Furcht, Oel, Wasser, Widerspruch, Schönheit;Neugier, Trauer, Angst, Lebenslust;Ungewissheit, Undefiniertheit, Schönheit, Verstand, Intellekt;???;
39;5916ba7305b8c504d59963b9;14_Mitternachtssonne_Ausblick.jpg;Farben, Weite, Abenteuer;Ruhe, Gelassenheit, Freude;Überblick über Situationen, Weite, Dinge in Perspektiven sehen, Dankbarkeit, Stolz nach Erreichen eines Ziels/Anstrengung;Ruhe nach dem Sturm, Dankbarkeit für Erreichtes, die Weite geniessen, nachdem viel Anstrengung getan ist, Blick nach Vorn;
40;591493d305b8c51ead8790f2;17_Biker_ueber_dem_Nebelmeer.jpg;Etwas erreichen, Ziel, Höhepunkt, Ruhe, ;Freude, Glück. Entspannung ;Ziele erreichen, Glücklich sein;;
41;591c39b305b8c516a9ecfc0f;38_Gipfelkreuz.jpg;Glaube, Hoffnung, Halt, Heimat, Höhen erklimmen, Ziele erreichen, mein Leben-Kreuz-Passion;Vertrauen, Vertrautheit, ;Etwas was mir immer Kraft und Halt gab, der Glaube, Spiritualität, weiter suchen, leidensfähig um zum Neuanfang zu gelangen;Mutig, geduldig, tapfer und optimistisch in die Zukunft schauen und kämpfen um etwas zu erreichen, auch wenn es blutige Arbeit und Entbehrung bedeutet. Die Hoffnung trägt.;
42;591d9ccc05b8c50b29e09ee9;14_Mitternachtssonne_Ausblick.jpg;Reisen, Freiheit, Aktivität, einzigartiger Moment;Oben auf der Bergspitze zu sein, bedeutet unter anderem etwas erreicht zu haben, und auf das Erreichte herunterzublicken -  sich zu freuen, dass man es geschafft hat;Sonnenuntergang (Lichtfarbe), Ausblick, endlich oben zu sein, weit weg von zu Hause zu sein, reisen, neues entdecken;nächste Reise planen, oder an vergangene zurückdenken;
43;5920b49505b8c5519b314660;53_Sonne_in_der_Baumkrone.jpg;;;;;
44;57cd17e805b8c52bd10a9823;5_Blick_in_die_Ferne_an_der_Kueste.jpg;Ausruhen, Natur, Meer, Erholung;Sehnsucht;- Entspannug, Natur, Meer, Ruhe, Auftanken - Geruch und Rauschen des Meeres - Energie und Beruhigtheit;Ruhe und Erholung in der Natur suchen, mich zurücklehnen und abgrenzen;
45;57f4d9f505b8c528491deef6;14_Mitternachtssonne_Ausblick.jpg;;;;;
46;57cd17ec05b8c52bd10a983c;52_Laueferin_rennt_in_Nebel_und_Sonne.jpg;Mystisches Licht;Positive Erinnerung an eigene Läufe;Die ruhige mystische Kraft hält den Rest der Welt auf Abstand. Man ist nur mit sich allein.;Ausgleich zum eher stressbetonten, hektischen Alltag.;
47;58e251b705b8c5062331f109;18_Baumstruktur.jpg;;;;;
48;59234a2605b8c54fac046172;26_Steg.jpg;Alle Wege führen zum Ziel;Nicht aufgeben. Weitergehen. Nicht ins Wasser fallen. ;Natur, Wasser;Viel am Wasser spazieren gehen. Da tanke ich Kraft. Fühle mich wohl;
49;58d0034205b8c566b19ab8dd;36_Grosser_Mythen.jpg;Die Berge sind schon ewig da und werden ewig da bleiben - im Gegensatz zu mir und meinen Problemen. Schönheit und Erhabenheit, Würde. ;Ruhe, Gelassenheit;Erinnerung an Bergtouren in unberührter Natur, zusammen mit Angelo. Den eigenen Weg zum Gipfel finden, Anstrengung aushalten und nachher geniessen. Kraft der Natur spüren, sich den Relationen Wichtig-Unwichtig, Heute-Ewigkeit bewusst werden. ;Vorfreude auf - leider zu seltene - Touren? Möglichkeit der Auszeit liegt vor der Haustür. ;
50;5583e8ef7a68616fe900c01b;5_Blick_in_die_Ferne_an_der_Kueste.jpg;Weite, Kraft, Ruhe, Inspiration, Zeit für Gedanken, Natur, ;Zufriedenheit, Motivation, innere Ausgeglichenheit;Weitsicht, Blick auf Veränderungen trotz oder wegen dem vorgegebenen Lauf der Natur. Zufriedenheit, etwas erreicht zu haben und Lust Neues zu erfahren/entdecken;mit Ruhe und Zuversicht in die Zukunft blicken, Kraft aus der Natur schöpfen;
51;592d527405b8c55a237e6b4b;3_Weg_and_der_Kueste.jpg;;;;;
52;58ee39eb05b8c558c1cc19f3;8_Sonnenuntergang_am_Strand.jpg;Meer, Entspannung, Geräusch der Wellen, Ferien;Entspannung;Entschleunigung;Versuchen, eine Entschleunigung im Alltag hinzukriegen;
53;5829a40105b8c522917971fa;11_Regenbogen.jpg;;;;;
54;56ddc9ad9f168a6930000000;27_Steg_mit_Fischer.jpg;Freiheit, Ruhe, frische Luft, Weitblick, Wärme;Sanftes warmes Gefühl;Etwas vergeht, etwas neues entsteht (Tag), Positives Bild;In der Ruhe liegt die Kraft;
55;59319d5905b8c53011171d19;14_Mitternachtssonne_Ausblick.jpg;Weitsicht, Freiheit, schöne Landschaft/Farben, Ferne, Abenteuer;Erfüllung, Stolz Ziel erreicht zu haben, wo ein Wille ist, ist auch ein Weg, frei sein, unabhängig;sich nicht unterschätzen, wo ein Wille ist, ist auch ein Weg. Man ist stärker, als man meint, wagen etwas unkonventionelles zu machen;dran bleiben, nicht aufgeben, auch wenn der Weg steinig ist, an sich glauben;
56;5914942a05b8c51ead8790f8;10_Wasserscheide.jpg;"zielgerichtete Bewegung; Dynamik mit Leitplanken; Weiterentwicklung, keine Stagnation";Heimat, Ruhe;"der Bergbach lebt und fliesst; Dynamik aber alles in 'geordneten Bahnen', stetige Weiterentwicklung, Bachbett / Steine als Leitplanken / Führungshilfen";ich befinde mich auf dem Weg, muss aber nichts überstürzen;
57;5931153c05b8c534d286e8c8;2_Spuren_im_Sand.jpg;Spuren die vergehen, wer kommt von wo? Wohin gehe ich?;Meer, Sand, Wärme. Ich spüre förmlich den feinen Sand unter meinen Füssen, ich fühle mich wohl, getragen mit purer Freude.;Offener Horizont, nichts ist verstellt. Kraft aus der Einfachheit. Das Meer wird die Spuren einholen, neue können gesetzt werden, neue Chancen können realisiert werden. Ich liebe das Meer, den Geruch. Der Sand federt das Laufen ab. Wind und die Wellengeräusche lassen alles um mich herum vergessen.;second wind!  Loslassen, die Bereitschaft haben alle Vorstellungen über Bord zu werfen und neue Spuren zu legen.  Entspannen! ;
58;5926ee1805b8c51a4e769b3d;2_Spuren_im_Sand.jpg;Unendliche Weite und der Schöpfung sehr nahe.;Freiheit Wärme und Geborgenheit.;Alles erreichen zu können.;Gedankliche Barrieren können überwunden werden.;
59;5583e9587a68616fe900d9f2;34_Paar_mit_Kuh_im_Sonnenuntergang.jpg;Ruhe, Zweisamkeit, Weitblick, Geborgenheit;Geborgenheit;körperliche Gesundheit, Fähigkeit zur Zweisamkeit, zum Genuss;Fähigkeit zum Genuss, zur Zweisamkeit;
60;5907344e05b8c530989ada0f;40_Skihuette_in_der_blauen_Stunde.jpg;Gemütlichkeit. Geborgenheit. Freiheit. Fröhlichkeit. Geselligkeit.;Wärme. Liebe. Freude. ;Schnee. Haus. Berge. ;Ehemann. Ich fühle mich zu hause wohl. Freundeskreis pflegen.;
61;5922f0d205b8c54fac045c90;50_Sonne_bricht_durch.jpg;Naturgewalten, Licht durchbricht das Dunkel;Wehmut, Ehrfurcht;das Licht, welches das Dunkel durchbricht, nach jeder dunklen Zeit wird es auch wieder hell, Unberechenbarkeit;;
62;593d6d9105b8c5338f44e187;34_Paar_mit_Kuh_im_Sonnenuntergang.jpg;Abendstimmung, Ruhe, Partnerschaft, Berge, Kuh;Ausklang des Tages, Ruhe, Zufreidenheit, Gemeinsam, Natur, Landwirtschaft, Neugier;keine Angst vor der Kuh, dass sie mich anschaut, Weitblick, Ruhe, es ist gut, so wie es ist;zu mir und zur Ruhen kommen, in die Natur gehen, etwas mit Menschen zusammen machen;
63;593e929c05b8c51515c0d358;47_Farbtuben.jpg;ein abstraktes Gemälde ;Freude ;ich verbinde dieses Bild mit zahlreichen friedlichen Nachmittagen in Ateliers. Diese bieten Zeit und Raum um sich Kreativ zu verwirklichen ;ich male regelmässig Bilder was mich unteranderem beruhigt.;
64;59197dcb05b8c53d09def05e;8_Sonnenuntergang_am_Strand.jpg;Freiheit, Freizeit, Entspannung und Erholung;Unendlichkeit, Entspannung, Ruhe;im Bild wirkt alles so friedlich, sorgenfrei;entspannter in den Tag gehen;
65;59416c4605b8c54bf3d7706e;40_Skihuette_in_der_blauen_Stunde.jpg;;;;;
66;593e7b2905b8c51515c0d304;31_Tanzen.jpg;Tanzen (auf internationaler Ebene) ist mein Hobby, was ich niemals aufgeben bzw. vernachlässigen möchte. Tanzen verbinde ich mit Reisen, Reisen mit Tanzen....;Freiheit, Glück, Ausgelassenheit, Freude;Tanzerfahrungen seit mehreren Jahren, schon als Kind. Leidenschaft zum Tanz, Bewegung zur Musik, Teilnahme an Competitions (Können unter Beweis stellen, sich mit anderen Tänzern messen);mehrmals wöchentlich tanzen gehen, viel Reisen um Tanzworkshops zu besuchen und Städtetouren zu machen - neue Städte und Kulturen kennenlernen;
67;59422aaa05b8c5566ce0fc37;50_Sonne_bricht_durch.jpg;Stuttgart, Sonne kommt durch, Gemütlichkeit, Sonnenstrahlen, Wald, Weite, Blick, Moment, Jetzt;wohlige Wärme, Neugier, Ruhe, Zufriedenheit;Lichtblick- die positive Grundhaltung, dass es schon so kommt wie es soll, Der Blick von oben -  Selbstreflexion und Überblick, Der Wille etwas neues zu entdecken;Positiv bleiben bei Rückschlägen und diese als Erfahrung zu sehen um mehr Wissen und Kompetenz aufzubauen.;
68;5942512705b8c5566ce0ffb3;27_Steg_mit_Fischer.jpg;Weite, Ausgewogenheit, Neubeginn, viel Gefühl (Wasser), Freiheit, ;Hoffnung, ein bisschen aufgeregt sein, weil etwas Neues kommt (Tagesanbruch), Erhabenheit;Ich bin nicht allein. Ich kann einfach eintauchen und muss nicht kämpfen. Ich fühle mich frei und aufgehoben gleichzeitig.;Privat fühle ich mich so.;
69;594289fd05b8c5566ce108d4;2_Spuren_im_Sand.jpg;;;;;
70;5943a75b05b8c546565469e8;14_Mitternachtssonne_Ausblick.jpg;"Jede Insel ist auf ihre weise schön; die Welt ist nicht begrenzt";freudige Erregung;"Die Fähigkeit, neue Dinge zu entdecken; keine Angst zu haben, einen Schritt weiter zu gehen";Den Mut aufbringen, die Weiterbildung anzufangen. Auch, wenn es ein Riesenschritt ist;
71;594a6b7305b8c57e4094ff5a;11_Regenbogen.jpg;Ruhe, Tiefe, Natur, Schottland, flach, angenehm warm, ;Zufriedenheit, Ruhe, Freude, Aufregung, Aufbruchstimmung, heile Welt;"Schönes friedvolles Landleben (z.B. in Schottland oder Irland) mit netten Personen; Gemeinschaft.";Ich nutze diese Vorstellung als Reiseziel und motiviere mich mit dem gewünschten Idealzustand;
72;594a7a9505b8c57e4095004f;2_Spuren_im_Sand.jpg;Unendlichkeit, Spuren hinterlassen, bei Flut werden die Spuren wieder verwischt;Sehnsucht, Einsamkeit, Hoffnung;friedliche Stimmung, eindeutige Fussabdrücke, sauberer Strand, wärmende Sonne;alles ist möglich;
73;594e299605b8c50b1fe89e57;56_Segler.jpg;;;;;
74;594f984605b8c51f35871d29;27_Steg_mit_Fischer.jpg;Ruhe, Kraft, Besinnlichkeit, Freiheit;Tiefere innere Zufriedenheit. Ruhepol;Zur Ruhe kommen. Die Gedanken spielen lassen. Entdecken und Beobachten der Natur und Tierwelt;Ausgleich zur Arbeit;
75;594fc1a405b8c53979ae8deb;14_Mitternachtssonne_Ausblick.jpg;Freiheit, Offenheit, Weite;Ruhe, Entspannung;die Weite / Ruhe, Entspannung, Zufriedenheit;um mich immer wieder auf das Wesentliche zu fokussieren, Ruhe und Entspannung im Alltag finden;
76;593a99c305b8c57d784d6009;17_Biker_ueber_dem_Nebelmeer.jpg;Abendteuer. Erlebnis. Biken.  Nach bestreiten des Weges den Gipfel erreichen. Durch eigene Leistung ein Ziel erreichen.  Es geschaft haben.  ;Freiheit.  Freude.  Erleichterung.;Sport.  Bewegung.  Natur.  Leistung.  Gesundheit. ;In Verbindung mit mir und der Natur sein und auf die Ressourcen von mir und der Natur vertrauen.;
77;5849156705b8c53329510cae;13_Zelt.jpg;Mongolei, mutig etwas Neues ausprobieren, sich einem Wagnis stellen;Vorfreude, Unsicherheit, Glück, angespannte Erwartungen, Vertrauen;es ist kein Weg sichtbar, aber irgendwie habe ich es mit meinem Zelt bis hierher geschafft, also werde ich es auch weiter schaffen. Ich vertraue auf meinen guten Instinkt und meine positive Einstellung. Ich bin fest davon überzeugt, dass ich aus dieser Reise viel Gutes für mich auf meinen weiteren Weg mitnehmen kann. Die satten Farben widerspiegeln meine Stärke, die nicht für alle auf den ersten Blick sichtbar ist. Das Zelt widerspiegelt meine Schutzhülle, die manchmal etwas zerrüttet wird von Wind und Sturm.;alles wird gut.;
78;5583ea6a7a68616fe9011662;21_Wasserspiegelung.jpg;spielerisch vollkommen aus dem Moment heraus;Ich betrachte gerne und es ist mir wohl dabei;die Unendlichkeit der Möglichkeiten.;Wasser, Himmel, Energie, Beweglichkeit, Ausgeglichenheit, Verspieltheit, Zusammenspiel, Ruhe, Detailreichtum, Wachstum, Ausdrucksstärke, Individualität;
79;595a016a05b8c517b79f8ca7;3_Weg_and_der_Kueste.jpg;Freiheit, Weite, Meer, Übersicht;Freiheit, Auszeit, Meer, Klarheit;Natur, Ruhe, Konzentration auf das Wesentliche;Erkenntnis, was guttut;
80;595a226f05b8c517b79f8fb2;38_Gipfelkreuz.jpg;Freiheit, Hoffnung;Geborgenheit Sicherheit;Glauber, Kreuz;Im Alltag;
81;58d3aea905b8c531603a3d68;34_Paar_mit_Kuh_im_Sonnenuntergang.jpg;Hiking with markus;frische luft, gemeinsam, zeit, nachdenken;air, hiking, mountains;ssss;
82;5583e6be7a68616fe9004b64;3_Weg_and_der_Kueste.jpg;Irland, schöne Ferien, Ruhe, Entspannung, Freiheit, alles ist in Ordnung, es ist ganz einfach und schlicht;Dankbarkeit, Glück, Sinnhaftigkeit, ;der Wind, das Meer, es braucht so wenig, dass es einem gut geht;innere Ruhe zu finden;
83;59385de105b8c51db1d85cb9;14_Mitternachtssonne_Ausblick.jpg;Weite, frei, schroff, klar, einsam;duftet, fühle mich frei, eins mit Gott und der Welt;Stärke, verwurzelt und gleichzeitig über den Dingen, klarsichtig, unabhängig;unabhängig und klarsichtig kann ich anderen nutzen, erhalte dies!;
84;5583e76d7a68616fe900707c;58_Kinder_spielen_Fussball.jpg;Spiel Freude Leidenschaft Jugend Dynamik;Unbeschwertheit Freude ;Lebensfreude;Orte der Lebensfreude aufsuchen;
85;57d3f40b05b8c554252bcc99;60_Yin_und_Yang_Pflanze.jpg;;;;;
86;5956679705b8c51e14fc7257;64_Mann_und_Frau.jpg;Starke Beziehung;Liebe, Geborgenheit, Seelenverwandtschaft ;Ein starkes Team sein, gemeinsam das Leben erleben ;Der Gedanke an meinen Partner stärkt mich;
87;59234a2605b8c54fac046172;27_Steg_mit_Fischer.jpg;Es ist nie zu spät einen neuen Weg einzuschlagen auch mit Hindernissen (Unterbruch). Der Steg ist auch nicht durchgehend, damit man ans andere Ufer laufen kann;Romantisch, Gedanken nachgehen, Stille geniessen, emotional wie sich die Farben im Wasser spiegeln;Sonnenuntergang und Wasser. Am Wasser fühl ich mich wohl (Skorpion, Wasserzeichen);Die Sonne geht am Morgen wieder auf. So wie ich am Morgen auch wieder aufstehe;
88;58c1932305b8c53e381d2c4f;31_Tanzen.jpg;Bewegung, Leidenschaft, Musik, Freude;Leidenschaft, Lebensfreude, Freiheit, gemeinsam;Kraft, Bewegung, Tanz, Freude;Sich stärker tänzelnd durchs Leben gehen;
89;5965e68905b8c5194a149f85;17_Biker_ueber_dem_Nebelmeer.jpg;Erkunden. Neues kennen lernen. Metaperspektive. Freiheit. ;Aufregung. Vorfreude. Erholung. ;draußen sein. sich selbst spüren. am Wasser sein. ;raus aus dem Trott. Inneren Schweinehund überwinden. Machen. ;
90;5583e6f57a68616fe90055d5;47_Farbtuben.jpg;farbig, kraft, klar;Ruhe, Sicherheit;;;
91;596ced7105b8c52320c4f4b3;12_Blick_in_den_Himmel.jpg;Los gehts;Vorfreude, Spannung, ankommen wollen;selbst lenken können, Mittel haben, ein Ziel haben;weiß nicht;
92;596f287205b8c5750427ded4;57_Mann_liest_Buch.jpg;Spannender und attraktiver Mann, spannendes Buch lesen, entspannt und inspiriert und selbst bestimmt unterwegs sein, abtauchen in eine andere Welt, Philosophie, Lebensweisheit,Inspiration;Wow, im Flow sein, abtauchen in eine spannende Welt, entspannt und inspiriert sein;Das Gefühl in einer positiven, inspirierten Welt zu leben, Zeit für neue Entdeckungen in der geistigen Welt, inspirierende Bücher lesen wie The big Magic und inspirierende Menschen treffen;Meine Leben nach meiner Wunschvorstellung gestalten, das unternehmen und kreieren, was für mich plastinierend ist;
93;595e4c0005b8c5644ed04290;63_Leopard.jpg;Schönheit, Eleganz, wild, frei, unzähmbar;Sehnsucht, Bewunderung;Unbezwingbarkeit, Stärke, Schönheit, Unabhängigkeit;;
94;5970b71c05b8c5559e5319b8;14_Mitternachtssonne_Ausblick.jpg;Freiheit, Wandern, Abenteuer;Ruhe, Geborgenheit, ;Die Weite, die Farben, die Übersicht über etwas haben;weiss ich leider nicht;
