;TargetFeature;InputFeature;BestAlgorithm;R^2;Accuracy
10;11;"neurotizismusCategory| extraversionCategory| vertraeglichkeitCategory| registration_age| job_status_edu_parttime| job_status_houskeeping| gender_f| gender_m| registration_ageKat_30-39| registration_ageKat_50-59| job_position_Fachspezialist/-in| job_position_Sachbearbeiter/-in| job_sector_Energieversorgung| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| job_sector_Öffentliche Verwaltung, Verteidigung; Sozialversicherung| educational_achievement_Bachelor| educational_achievement_Doktorat, Habilitation| utilization_translation_disgustCategory";KNN Classifier, Degree: 4;1,0;1,0
11;12;offenheitCategory| gewissenhaftigkeitCategory| job_status_houskeeping| work_district_GR| job_position_Sachbearbeiter/-in| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| job_sector_Information und Kommunikation| educational_achievement_Doktorat, Habilitation| mobility| reasons_translation_sentimentCategory| reasons_translation_joyCategory| reasons_translation_fearCategory| reasons_translation_angerCategory| emotions_translation_angerCategory| utilization_translation_sentimentCategory| utilization_translation_fearCategory| story_translation_joyCategory;Random Forest Classifier;1,0;1,0
12;13;"extraversionCategory| job_status_edu_parttime| job_status_houskeeping| gender_f| gender_m| registration_ageKat_50-59| job_position_Fachspezialist/-in| job_position_Sachbearbeiter/-in| job_sector_Energieversorgung| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| job_sector_Öffentliche Verwaltung, Verteidigung; Sozialversicherung| educational_achievement_Bachelor| educational_achievement_Doktorat, Habilitation| strengths_translation_sentimentCategory| utilization_translation_disgustCategory";KNN Classifier, Degree: 5;1,0;1,0
13;14;"neurotizismusCategory| extraversionCategory| vertraeglichkeitCategory| job_status_edu_parttime| job_status_houskeeping| registration_ageKat_30-39| registration_ageKat_50-59| job_position_Fachspezialist/-in| job_position_Sachbearbeiter/-in| job_sector_Energieversorgung| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| job_sector_Öffentliche Verwaltung, Verteidigung; Sozialversicherung| educational_achievement_Bachelor| educational_achievement_Doktorat, Habilitation";KNN Classifier, Degree: 3;1,0;1,0
14;15;vertraeglichkeitCategory| gewissenhaftigkeitCategory| work_district_GR| job_position_Fachspezialist/-in| job_position_Sachbearbeiter/-in| job_sector_Energieversorgung| job_sector_Erbringung von sonstigen Dienstleistungen| company_size_250.0| company_size_9.0| educational_achievement_Bachelor| educational_achievement_Höhere Fach- und Berufsausbildung mit eidg. Fachausweis, eidg. Diplom oder Meisterdiplom, Höhere Fachschule für Technik| utilization_translation_sentimentCategory| story_translation_sentimentCategory;Logistic Regression;1,0;1,0
15;16;registration_age| job_status_edu_parttime| job_status_houskeeping| registration_ageKat_50-59| job_position_Fachspezialist/-in| job_sector_Energieversorgung| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| job_sector_Information und Kommunikation| educational_achievement_Bachelor| mobility| strengths_translation_joyCategory;KNN Classifier, Degree: 3;1,0;1,0
16;17;neurotizismusCategory| extraversionCategory| registration_age| job_status_edu_parttime| job_status_employed_parttime| job_status_employed_fulltime| job_status_houskeeping| registration_ageKat_30-39| registration_ageKat_50-59| work_district_GR| work_district_ZH| job_position_Sachbearbeiter/-in| job_sector_Energieversorgung| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| job_sector_Erbringung von sonstigen Dienstleistungen| company_size_9.0| educational_achievement_Höhere Fach- und Berufsausbildung mit eidg. Fachausweis, eidg. Diplom oder Meisterdiplom, Höhere Fachschule für Technik| mobility| strengths_translation_joyCategory| strengths_translation_fearCategory| story_translation_fearCategory| story_translation_disgustCategory;Random Forest Classifier;1,0;1,0
17;18;offenheitCategory| gewissenhaftigkeitCategory| job_status_employed_parttime| job_status_houskeeping| work_district_GR| job_position_Sachbearbeiter/-in| job_position_untere Führungsstufe (z.B. Teamleitung)| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| company_size_249.0| educational_achievement_Doktorat, Habilitation| reasons_translation_sentimentCategory| reasons_translation_fearCategory| reasons_translation_disgustCategory| reasons_translation_angerCategory| emotions_translation_fearCategory| emotions_translation_angerCategory| strengths_translation_sentimentCategory| utilization_translation_sentimentCategory| utilization_translation_fearCategory| story_translation_joyCategory;Random Forest Classifier;1,0;1,0
18;19;offenheitCategory| gewissenhaftigkeitCategory| job_status_employed_parttime| job_status_houskeeping| work_district_GR| job_position_Sachbearbeiter/-in| job_position_untere Führungsstufe (z.B. Teamleitung)| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| company_size_249.0| educational_achievement_Doktorat, Habilitation| reasons_translation_sentimentCategory| reasons_translation_fearCategory| reasons_translation_disgustCategory| reasons_translation_angerCategory| emotions_translation_fearCategory| emotions_translation_angerCategory| strengths_translation_sentimentCategory| utilization_translation_sentimentCategory| utilization_translation_fearCategory| story_translation_joyCategory;KNN Classifier, Degree: 2;1,0;1,0
19;20;"neurotizismusCategory| extraversionCategory| registration_age| job_status_edu_parttime| job_status_houskeeping| registration_ageKat_30-39| registration_ageKat_50-59| work_district_GR| job_position_Fachspezialist/-in| job_position_Sachbearbeiter/-in| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| job_sector_Erbringung von sonstigen Dienstleistungen| job_sector_Öffentliche Verwaltung, Verteidigung; Sozialversicherung| company_size_9.0| educational_achievement_Bachelor| educational_achievement_Doktorat, Habilitation| mobility| utilization_translation_fearCategory| utilization_translation_disgustCategory";Random Forest Classifier;1,0;1,0
20;21;offenheitCategory| gewissenhaftigkeitCategory| job_status_employed_parttime| job_status_houskeeping| work_district_GR| job_position_Sachbearbeiter/-in| job_position_untere Führungsstufe (z.B. Teamleitung)| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| company_size_249.0| educational_achievement_Doktorat, Habilitation| reasons_translation_sentimentCategory| reasons_translation_fearCategory| reasons_translation_disgustCategory| reasons_translation_angerCategory| emotions_translation_fearCategory| emotions_translation_angerCategory| strengths_translation_sentimentCategory| utilization_translation_sentimentCategory| utilization_translation_fearCategory| story_translation_joyCategory;Random Forest Classifier;1,0;1,0
21;22;neurotizismusCategory| extraversionCategory| registration_age| job_status_edu_parttime| job_status_employed_parttime| job_status_employed_fulltime| job_status_houskeeping| registration_ageKat_30-39| registration_ageKat_50-59| work_district_GR| work_district_ZH| job_position_Fachspezialist/-in| job_position_Sachbearbeiter/-in| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| job_sector_Erbringung von sonstigen Dienstleistungen| company_size_250.0| company_size_9.0| educational_achievement_Bachelor| educational_achievement_Höhere Fach- und Berufsausbildung mit eidg. Fachausweis, eidg. Diplom oder Meisterdiplom, Höhere Fachschule für Technik| mobility| strengths_translation_joyCategory| strengths_translation_fearCategory| story_translation_fearCategory| story_translation_disgustCategory;Logistic Regression;1,0;1,0
22;23;offenheitCategory| gewissenhaftigkeitCategory| job_status_employed_parttime| job_status_houskeeping| work_district_GR| job_position_Sachbearbeiter/-in| job_position_untere Führungsstufe (z.B. Teamleitung)| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| company_size_249.0| educational_achievement_Doktorat, Habilitation| reasons_translation_sentimentCategory| reasons_translation_joyCategory| reasons_translation_fearCategory| reasons_translation_disgustCategory| reasons_translation_angerCategory| emotions_translation_fearCategory| emotions_translation_angerCategory| strengths_translation_sentimentCategory| utilization_translation_sentimentCategory| utilization_translation_fearCategory| story_translation_joyCategory;Random Forest Classifier;1,0;1,0
23;24;neurotizismusCategory| extraversionCategory| registration_age| job_status_edu_parttime| job_status_employed_parttime| job_status_employed_fulltime| job_status_houskeeping| registration_ageKat_30-39| registration_ageKat_50-59| work_district_GR| job_position_Fachspezialist/-in| job_position_Sachbearbeiter/-in| job_sector_Energieversorgung| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| job_sector_Erbringung von sonstigen Dienstleistungen| company_size_250.0| company_size_9.0| educational_achievement_Bachelor| educational_achievement_Höhere Fach- und Berufsausbildung mit eidg. Fachausweis, eidg. Diplom oder Meisterdiplom, Höhere Fachschule für Technik| mobility| strengths_translation_joyCategory| strengths_translation_fearCategory;KNN Classifier, Degree: 3;1,0;1,0
24;25;offenheitCategory| gewissenhaftigkeitCategory| job_status_employed_parttime| job_status_houskeeping| registration_ageKat_40-49| work_district_GR| job_position_Sachbearbeiter/-in| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| educational_achievement_Doktorat, Habilitation| educational_achievement_Master, Lizentiat, Diplom, Staatsexamen, Nachdiplom| reasons_translation_sentimentCategory| reasons_translation_joyCategory| reasons_translation_fearCategory| reasons_translation_disgustCategory| reasons_translation_angerCategory| emotions_translation_fearCategory| emotions_translation_angerCategory| strengths_translation_sentimentCategory| utilization_translation_sentimentCategory| utilization_translation_fearCategory| story_translation_joyCategory;Logistic Regression;1,0;1,0
25;26;offenheitCategory| vertraeglichkeitCategory| job_status_houskeeping| gender_f| gender_m| registration_ageKat_50-59| work_district_GR| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| job_sector_Erbringung von sonstigen Dienstleistungen| company_size_9.0| reasons_translation_fearCategory| reasons_translation_angerCategory| strengths_translation_sentimentCategory| story_translation_joyCategory;Logistic Regression;1,0;1,0
26;27;"neurotizismusCategory| extraversionCategory| registration_age| job_status_edu_parttime| job_status_houskeeping| registration_ageKat_30-39| registration_ageKat_50-59| work_district_GR| job_position_Fachspezialist/-in| job_position_Sachbearbeiter/-in| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| job_sector_Erbringung von sonstigen Dienstleistungen| job_sector_Öffentliche Verwaltung, Verteidigung; Sozialversicherung| company_size_9.0| educational_achievement_Bachelor| educational_achievement_Doktorat, Habilitation| mobility| utilization_translation_fearCategory| utilization_translation_disgustCategory";KNN Classifier, Degree: 4;1,0;1,0
27;28;registration_age| job_status_edu_parttime| job_status_employed_parttime| job_status_houskeeping| registration_ageKat_50-59| job_position_Fachspezialist/-in| job_sector_Energieversorgung| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| company_size_250.0| educational_achievement_Bachelor| mobility| reasons_translation_sentimentCategory| reasons_translation_angerCategory| strengths_translation_sentimentCategory| strengths_translation_joyCategory| story_translation_joyCategory;KNN Classifier, Degree: 3;1,0;1,0
28;29;neurotizismusCategory| extraversionCategory| registration_age| job_status_edu_parttime| job_status_houskeeping| registration_ageKat_30-39| registration_ageKat_50-59| work_district_GR| job_position_Sachbearbeiter/-in| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| job_sector_Erbringung von sonstigen Dienstleistungen| company_size_9.0| educational_achievement_Bachelor| educational_achievement_Doktorat, Habilitation| mobility| strengths_translation_fearCategory| utilization_translation_fearCategory| utilization_translation_disgustCategory;Random Forest Classifier;1,0;1,0
29;30;neurotizismusCategory| extraversionCategory| vertraeglichkeitCategory| gewissenhaftigkeitCategory| registration_age| job_status_edu_parttime| job_status_houskeeping| registration_ageKat_30-39| registration_ageKat_50-59| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| job_sector_Information und Kommunikation| mobility| reasons_translation_joyCategory| strengths_translation_joyCategory| strengths_translation_fearCategory| utilization_translation_sentimentCategory;Logistic Regression;1,0;1,0
30;31;neurotizismusCategory| extraversionCategory| registration_age| job_status_edu_parttime| job_status_employed_parttime| job_status_employed_fulltime| job_status_houskeeping| registration_ageKat_30-39| registration_ageKat_50-59| work_district_GR| work_district_ZH| job_position_Fachspezialist/-in| job_position_Sachbearbeiter/-in| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| job_sector_Erbringung von sonstigen Dienstleistungen| company_size_250.0| company_size_9.0| educational_achievement_Bachelor| educational_achievement_Höhere Fach- und Berufsausbildung mit eidg. Fachausweis, eidg. Diplom oder Meisterdiplom, Höhere Fachschule für Technik| mobility| strengths_translation_joyCategory| strengths_translation_fearCategory| story_translation_fearCategory| story_translation_disgustCategory;Logistic Regression;1,0;1,0
31;32;"neurotizismusCategory| extraversionCategory| registration_age| job_status_edu_parttime| job_status_houskeeping| registration_ageKat_30-39| registration_ageKat_50-59| work_district_GR| job_position_Fachspezialist/-in| job_position_Sachbearbeiter/-in| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| job_sector_Erbringung von sonstigen Dienstleistungen| job_sector_Öffentliche Verwaltung, Verteidigung; Sozialversicherung| company_size_9.0| educational_achievement_Bachelor| educational_achievement_Doktorat, Habilitation| mobility| utilization_translation_fearCategory| utilization_translation_disgustCategory";KNN Classifier, Degree: 4;1,0;1,0
32;33;neurotizismusCategory| extraversionCategory| registration_age| job_status_edu_parttime| job_status_houskeeping| registration_ageKat_30-39| registration_ageKat_50-59| work_district_GR| job_position_Sachbearbeiter/-in| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| job_sector_Erbringung von sonstigen Dienstleistungen| company_size_9.0| educational_achievement_Bachelor| educational_achievement_Doktorat, Habilitation| mobility| strengths_translation_fearCategory| utilization_translation_fearCategory| utilization_translation_disgustCategory;Random Forest Classifier;1,0;1,0
33;34;job_status_employed_parttime| job_status_employed_fulltime| job_status_houskeeping| registration_ageKat_50-59| work_district_ZH| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| company_size_250.0| educational_achievement_Bachelor| educational_achievement_Doktorat, Habilitation| nature| mobility| reasons_translation_sentimentCategory| reasons_translation_joyCategory| reasons_translation_disgustCategory| reasons_translation_angerCategory| emotions_translation_fearCategory| emotions_translation_angerCategory| strengths_translation_sentimentCategory| strengths_translation_joyCategory| story_translation_sentimentCategory| story_translation_joyCategory| story_translation_fearCategory| story_translation_disgustCategory;Random Forest Classifier;1,0;1,0
34;35;offenheitCategory| gewissenhaftigkeitCategory| job_status_houskeeping| registration_ageKat_50-59| work_district_GR| job_position_Sachbearbeiter/-in| job_sector_Energieversorgung| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| job_sector_Erbringung von sonstigen Dienstleistungen| company_size_9.0| educational_achievement_Doktorat, Habilitation| mobility| reasons_translation_sadnessCategory| reasons_translation_joyCategory| reasons_translation_fearCategory| reasons_translation_angerCategory| emotions_translation_angerCategory| utilization_translation_sentimentCategory| utilization_translation_fearCategory| story_translation_joyCategory;SVC (polynomial), Degree: 4;1,0;1,0
35;36;registration_age| job_status_edu_parttime| job_status_employed_parttime| job_status_houskeeping| registration_ageKat_50-59| job_position_Fachspezialist/-in| job_sector_Energieversorgung| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| company_size_250.0| educational_achievement_Bachelor| mobility| reasons_translation_sentimentCategory| strengths_translation_sentimentCategory| story_translation_joyCategory;KNN Classifier, Degree: 3;1,0;1,0
36;37;offenheitCategory| gewissenhaftigkeitCategory| registration_age| job_status_employed_parttime| job_status_employed_fulltime| job_status_houskeeping| registration_ageKat_50-59| work_district_BE| work_district_ZH| job_sector_Energieversorgung| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| company_size_250.0| educational_achievement_Doktorat, Habilitation| nature| mobility| reasons_translation_sentimentCategory| reasons_translation_joyCategory| reasons_translation_fearCategory| reasons_translation_disgustCategory| reasons_translation_angerCategory| emotions_translation_sadnessCategory| emotions_translation_joyCategory| emotions_translation_fearCategory| emotions_translation_disgustCategory| emotions_translation_angerCategory| strengths_translation_joyCategory| strengths_translation_disgustCategory| strengths_translation_angerCategory| utilization_translation_sentimentCategory| story_translation_joyCategory| story_translation_fearCategory| story_translation_disgustCategory;Random Forest Classifier;1,0;1,0
37;38;"neurotizismusCategory| extraversionCategory| registration_ageKat_30-39| work_district_GR| job_position_Sachbearbeiter/-in| job_sector_Energieversorgung| job_sector_Erbringung von sonstigen Dienstleistungen| job_sector_Öffentliche Verwaltung, Verteidigung; Sozialversicherung| company_size_9.0| educational_achievement_Doktorat, Habilitation| reasons_translation_angerCategory| utilization_translation_fearCategory| story_translation_joyCategory";Random Forest Classifier;1,0;1,0
38;39;offenheitCategory| gewissenhaftigkeitCategory| job_status_employed_parttime| job_status_houskeeping| work_district_BE| work_district_GR| job_position_Sachbearbeiter/-in| job_sector_Energieversorgung| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| educational_achievement_Doktorat, Habilitation| mobility| reasons_translation_sentimentCategory| reasons_translation_joyCategory| reasons_translation_fearCategory| reasons_translation_disgustCategory| reasons_translation_angerCategory| emotions_translation_fearCategory| emotions_translation_angerCategory| strengths_translation_sentimentCategory| utilization_translation_sentimentCategory| story_translation_joyCategory;SVC (polynomial), Degree: 3;1,0;1,0
39;40;registration_age| job_status_edu_parttime| job_status_employed_parttime| job_status_employed_fulltime| job_status_houskeeping| registration_ageKat_50-59| job_position_Fachspezialist/-in| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| educational_achievement_Bachelor| mobility| reasons_translation_sentimentCategory| reasons_translation_fearCategory| reasons_translation_angerCategory| emotions_translation_fearCategory| emotions_translation_angerCategory| strengths_translation_disgustCategory| strengths_translation_angerCategory| story_translation_joyCategory;Logistic Regression;1,0;1,0
40;41;"vertraeglichkeitCategory| job_status_edu_parttime| job_status_houskeeping| gender_f| gender_m| registration_ageKat_50-59| work_district_GR| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| job_sector_Erbringung von sonstigen Dienstleistungen| job_sector_Öffentliche Verwaltung, Verteidigung; Sozialversicherung| company_size_9.0| educational_achievement_Doktorat, Habilitation| educational_achievement_Höhere Fach- und Berufsausbildung mit eidg. Fachausweis, eidg. Diplom oder Meisterdiplom, Höhere Fachschule für Technik| animal| strengths_translation_sentimentCategory| utilization_translation_disgustCategory| utilization_translation_angerCategory| story_translation_sadnessCategory| story_translation_angerCategory";Random Forest Classifier;1,0;1,0
41;42;"offenheitCategory| gewissenhaftigkeitCategory| registration_age| job_status_edu_parttime| job_status_employed_parttime| job_status_employed_fulltime| job_status_houskeeping| registration_ageKat_50-59| work_district_BE| work_district_ZH| job_sector_Energieversorgung| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| job_sector_Öffentliche Verwaltung, Verteidigung; Sozialversicherung| company_size_250.0| educational_achievement_Doktorat, Habilitation| nature| mobility| reasons_translation_sentimentCategory| reasons_translation_joyCategory| reasons_translation_disgustCategory| reasons_translation_angerCategory| emotions_translation_fearCategory| emotions_translation_angerCategory| strengths_translation_joyCategory| strengths_translation_fearCategory| utilization_translation_sentimentCategory| story_translation_joyCategory| story_translation_fearCategory| story_translation_disgustCategory";Random Forest Classifier;1,0;1,0
42;43;registration_age| job_status_edu_parttime| job_status_houskeeping| registration_ageKat_50-59| job_position_Fachspezialist/-in| job_sector_Energieversorgung| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| company_size_250.0| educational_achievement_Bachelor| mobility| reasons_translation_sentimentCategory| strengths_translation_sentimentCategory| strengths_translation_joyCategory| story_translation_joyCategory;Random Forest Classifier;1,0;1,0
43;44;offenheitCategory| gewissenhaftigkeitCategory| job_status_employed_parttime| job_status_houskeeping| work_district_GR| job_position_Sachbearbeiter/-in| job_position_untere Führungsstufe (z.B. Teamleitung)| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| company_size_249.0| educational_achievement_Doktorat, Habilitation| reasons_translation_sentimentCategory| reasons_translation_fearCategory| reasons_translation_disgustCategory| reasons_translation_angerCategory| emotions_translation_fearCategory| emotions_translation_angerCategory| strengths_translation_sentimentCategory| utilization_translation_sentimentCategory| utilization_translation_fearCategory| story_translation_joyCategory;Random Forest Classifier;1,0;1,0
44;45;"neurotizismusCategory| extraversionCategory| vertraeglichkeitCategory| job_status_edu_parttime| job_status_houskeeping| registration_ageKat_30-39| registration_ageKat_50-59| job_position_Fachspezialist/-in| job_position_Sachbearbeiter/-in| job_sector_Energieversorgung| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| job_sector_Öffentliche Verwaltung, Verteidigung; Sozialversicherung| educational_achievement_Bachelor| educational_achievement_Doktorat, Habilitation";KNN Classifier, Degree: 3;1,0;1,0
45;46;"neurotizismusCategory| extraversionCategory| job_status_edu_parttime| job_status_houskeeping| registration_ageKat_30-39| registration_ageKat_50-59| work_district_GR| job_position_Fachspezialist/-in| job_position_Sachbearbeiter/-in| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| job_sector_Erbringung von sonstigen Dienstleistungen| job_sector_Öffentliche Verwaltung, Verteidigung; Sozialversicherung| company_size_9.0| educational_achievement_Bachelor| educational_achievement_Doktorat, Habilitation| mobility| reasons_translation_disgustCategory| utilization_translation_fearCategory| utilization_translation_disgustCategory";KNN Classifier, Degree: 2;1,0;1,0
46;47;"neurotizismusCategory| extraversionCategory| registration_age| job_status_edu_parttime| job_status_houskeeping| registration_ageKat_30-39| registration_ageKat_50-59| work_district_GR| job_position_Fachspezialist/-in| job_position_Sachbearbeiter/-in| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| job_sector_Erbringung von sonstigen Dienstleistungen| job_sector_Öffentliche Verwaltung, Verteidigung; Sozialversicherung| company_size_9.0| educational_achievement_Bachelor| educational_achievement_Doktorat, Habilitation| educational_achievement_Höhere Fach- und Berufsausbildung mit eidg. Fachausweis, eidg. Diplom oder Meisterdiplom, Höhere Fachschule für Technik| mobility";Random Forest Classifier;1,0;1,0
47;48;"neurotizismusCategory| extraversionCategory| vertraeglichkeitCategory| job_status_edu_parttime| job_status_houskeeping| gender_f| gender_m| registration_ageKat_30-39| registration_ageKat_50-59| job_position_Sachbearbeiter/-in| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| job_sector_Öffentliche Verwaltung, Verteidigung; Sozialversicherung| educational_achievement_Bachelor| educational_achievement_Doktorat, Habilitation| reasons_translation_disgustCategory| utilization_translation_disgustCategory";KNN Classifier, Degree: 2;1,0;1,0
