;neurotizismusCategory;extraversionCategory;offenheitCategory;vertraeglichkeitCategory;gewissenhaftigkeitCategory
37;0,9656;0,9485;0,066;0,0987;0,6184
38;0,2955;0,3449;0,7582;0,8385;0,4203
39;0,7014;0,2636;0,0642;0,7342;0,2729
40;0,9839;0,3332;0,0613;0,9194;0,9194
41;0,663;0,1767;0,6044;0,1648;0,6878
42;0,4327;0,3856;0,1598;0,0694;0,1388
43;0,62;0,604;0,9121;0,1116;0,4957
44;0,2799;0,3544;0,2114;0,1818;0,9753
45;0,65;0,6662;0,7027;0,6878;0,6878
46;0,1707;0,0274;0,2495;0,7545;0,7545
47;0,0943;0,1118;0,5645;0,8683;0,8683
48;0,2389;0,2794;0,3894;0,5662;0,5662
49;0,4167;0,1033;0,4114;0,4144;0,4144
50;0,7332;0,6623;0,1026;0,1808;0,3413
51;0,9737;0,9605;0,1598;0,3231;0,1388
52;0,0457;0,0457;0,3141;0,3173;0,0447
53;0,3816;0,9403;0,6493;0,2798;0,5636
54;0,3002;0,3412;0,9348;0,2391;0,8682
55;0,1419;0,0375;0,6948;0,8286;0,8286
56;0,7246;0,1017;0,625;0,3675;0,3675
57;0,4167;1,0;0,0995;1,0;0,1017
58;0,6893;0,0631;0,8353;0,3064;0,3064
59;0,1707;0,6847;0,511;0,5586;0,5586
60;0,9772;0,9658;0,6184;0,0221;0,886
61;0,6624;0,7631;0,1264;0,1531;0,3777
62;0,9869;0,4018;0,1274;0,0106;0,9342
63;0,62;0,7023;0,3066;0,1116;0,2582
64;0,3949;0,1118;0,8022;0,8683;0,3231
65;0,9737;0,9605;0,1598;0,0694;0,1388
66;0,9602;0,4533;0,1967;0,0553;0,5636
67;0,663;0,6662;0,6044;0,6226;0,6878
68;0,3649;0,5679;0,0431;0,4962;0,4962
69;0,126;0,054;0,0021;0,6748;0,9585
70;0,5768;0,5208;0,0753;0,7915;0,1429
71;0,3734;0,8356;0,0311;0,0391;0,5465
72;0,0734;0,4754;0,8636;0,8914;0,6696
73;0,381;0,0486;0,2906;0,019;0,3107
74;0,0341;0,1033;0,1982;0,2829;0,1386
75;0,9831;0,3644;0,0315;0,3427;0,5262
76;0,7486;0,0588;0,8694;0,4625;0,4625
77;0,9827;0,4536;0,0001;0,1204;0,1204
78;0,7758;0,1254;0,8784;0,6833;0,5651
79;0,3561;0,196;0,1232;0,4681;0,0069
80;0,0327;0,9539;0,4975;0,2776;0,2011
81;0,6177;0,079;0,6097;0,7825;0,5169
82;0,0114;0,2117;0,3875;0,8115;0,0035
83;0,9392;0,3302;0,0122;0,062;0,2417
84;0,8203;0,9401;0,606;0,7778;0,5232
85;0,7078;0,7741;0,7408;0,2235;0,1499
86;0,8005;0,8496;0,0205;0,2032;0,1431
87;0,4724;0,2997;0,4778;0,0797;0,2261
88;0,7574;0,3578;0,0263;0,9056;0,0136
89;0,1056;0,4302;0,6902;0,2555;0,0658
90;0,0719;0,0906;0,4091;0,777;0,1679
91;0,3247;0,0754;0,5157;0,3138;0,4706
92;0,0628;0,0714;0,1861;0,7057;0,1077
93;0,3194;0,5475;0,521;0,5011;0,3297
94;0,5941;0,9459;0,1643;0,0294;0,6629
95;0,1433;0,2068;0,0138;0,8843;0,559
96;0,8636;0,203;0,3418;0,5091;0,2405
97;0,5262;0,4486;0,9912;0,5123;0,1674
98;0,5688;0,7486;0,1539;0,2032;0,4965
99;0,5269;0,0636;0,0736;0,9955;0,3516
100;0,7605;0,357;0,1796;0,6779;0,8187
101;0,941;0,6331;0,0637;0,5834;0,5784
102;0,0212;0,005;0,7324;0,4244;0,9156
103;0,8764;0,4251;0,5416;0,4662;0,0145
104;0,6777;0,0815;0,4328;0,0272;0,0165
105;0,2877;0,9915;0,5569;0,3963;0,4577
106;0,106;0,8161;0,6622;0,0278;0,5931
107;0,5698;0,4201;0,3955;0,1985;0,2727
108;0,3913;0,3318;0,0887;0,1589;0,0403
109;0,4088;0,0635;0,0438;0,0224;0,3401
110;0,4048;0,6724;0,2256;0,1084;0,2173
111;0,7934;0,5454;0,2207;0,0485;0,3836
112;0,6784;0,8335;0,7338;0,0167;0,0167
113;0,4619;0,1574;0,3597;0,6045;0,7328
114;0,1502;0,1979;0,1051;0,0444;0,6417
115;0,4414;0,1965;0,0659;0,9195;0,9369
116;0,0605;0,0539;0,4287;0,6164;0,5696
117;0,3386;0,9589;0,0464;0,013;0,4509
118;0,3769;0,5353;0,9437;0,0996;0,0996
119;0,0883;0,8976;0,9481;0,0571;0,0571
120;0,0716;0,3205;0,2914;0,8096;0,1593
121;0,357;0,018;0,3256;0,3029;0,8416
122;0,8088;0,0658;0,7064;0,9645;0,7668
123;0,5099;0,3225;0,9668;0,2062;0,3102
124;0,7106;0,1449;0,0689;0,1722;0,5464
125;0,8716;0,2283;0,5943;0,1208;0,0544
126;0,2325;0,1243;0,7681;0,2075;0,1422
127;0,576;0,3267;0,6467;0,294;0,1449
128;0,2025;0,4214;0,4162;0,9464;0,893
129;0,9416;0,7146;0,0364;0,3241;0,6501
130;0,5998;0,4449;0,7984;0,0642;0,6312
131;0,3859;0,9332;0,6715;0,1147;0,1147
132;0,6607;0,2964;0,343;0,0123;0,3569
133;0,958;0,7804;0,5105;0,0268;0,2399
134;0,6266;0,9346;0,6187;0,0227;0,7878
135;0,8853;0,7504;0,1791;0,9552;0,8894
136;0,8018;0,7309;0,791;0,2792;0,4722
137;0,3558;0,0322;0,0201;0,6542;0,2893
138;0,1793;0,9761;0,3952;0,3352;0,9744
139;0,0996;0,2815;0,7087;0,2458;0,5544
140;0,084;0,6748;0,3753;0,1695;0,9514
141;0,8561;0,7855;0,1902;0,3497;0,2538
142;0,3731;0,5235;0,3577;0,4402;0,1927
143;0,4666;0,4154;0,3456;0,8011;0,119
144;0,4215;0,366;0,4662;0,5369;0,3063
145;0,5373;0,0164;0,6808;0,0122;0,8602
146;0,5388;0,9526;0,8099;0,4981;0,6904
147;0,154;0,3508;0,5283;0,1751;0,4401
