;attribute 1;attribute 2;p-value;correlation
56;strengths_translation_fearCategory;work_district_BS;0,0263;0,11180339887498954
57;strengths_translation_fearCategory;work_district_NI;0,0499;-0,09874672526679586
58;strengths_translation_fearCategory;work_district_ZG;0,0047;0,1419684428304049
59;strengths_translation_fearCategory;job_position_Fachspezialist/-in;0,0125;0,12555711970620512
60;strengths_translation_fearCategory;educational_achievement_Höhere Fachschule lusive Nachdiplome;0,0371;-0,10495919171222033
61;strengths_translation_disgustCategory;job_status_houskeeping;0,0021;0,1544316726876702
62;strengths_translation_disgustCategory;work_country_CH;0,0496;0,0988425397897563
63;strengths_translation_disgustCategory;work_district_BS;0,0303;0,10900654345759686
64;strengths_translation_disgustCategory;work_district_ZG;0,0059;0,1384169836402139
65;strengths_translation_disgustCategory;job_position_Fachspezialist/-in;0,0082;0,1328464020002544
66;strengths_translation_disgustCategory;job_sector_Erbringung von sonstigen wirtschaftlichen Dienstleistungen;0,008;-0,13321610807963702
67;strengths_translation_disgustCategory;educational_achievement_Höhere Fachschule lusive Nachdiplome;0,0034;-0,14712219494286527
68;strengths_translation_angerCategory;work_district_LU;0,0038;0,14539151440208212
69;strengths_translation_angerCategory;job_position_Fachspezialist/-in;0,0321;0,10786975044017268
70;strengths_translation_angerCategory;job_sector_Erbringung von sonstigen wirtschaftlichen Dienstleistungen;0,0075;-0,1344443848551909
71;utilization_translation_sentimentCategory;educational_achievement_Doktorat, Habilitation;0,0434;0,10167654462541388
72;utilization_translation_sadnessCategory;job_status_selfemployed;0,0227;-0,11465430632569021
73;utilization_translation_joyCategory;work_district_BS;0,0329;-0,1073598347720784
74;utilization_translation_joyCategory;job_sector_Baugewerbe/Bau;0,0401;-0,10333837007757274
75;utilization_translation_joyCategory;company_size_9.0;0,0484;-0,09937678385751282
76;utilization_translation_fearCategory;job_status_employed_parttime;0,0232;0,11420214506881626
77;utilization_translation_fearCategory;job_sector_Energieversorgung;0,0484;-0,09936752053164073
78;utilization_translation_disgustCategory;job_status_edu_parttime;0,0017;0,15730109562360067
79;utilization_translation_disgustCategory;work_country_CH;0,0342;0,10657378458834178
80;utilization_translation_disgustCategory;work_country_DE;0,0443;-0,10125518060459987
81;utilization_translation_disgustCategory;work_district_BS;0,0338;0,10681593040642604
82;utilization_translation_disgustCategory;job_sector_Verkehr und Lagerei;0,0478;0,09962998634153461
83;utilization_translation_angerCategory;job_status_houskeeping;0,0493;0,09897046253585447
84;utilization_translation_angerCategory;country_CH;0,0107;0,12833460079151268
85;utilization_translation_angerCategory;"job_sector_Öffentliche Verwaltung, Verteidigung; Sozialversicherung";0,0119;0,12649712663930257
86;story_translation_sentimentCategory;work_district_AG;0,0336;-0,10693355502046142
87;story_translation_sadnessCategory;educational_achievement_Gymnasiale Maturität, Lehrkräfte-Seminar;0,0364;0,10534974091300031
88;story_translation_joyCategory;registration_ageKat_50-59;0,0455;-0,10070075449530737
89;story_translation_joyCategory;country_CH;0,0399;0,10344956939744476
90;story_translation_joyCategory;country_DE;0,0231;-0,11431318550463586
91;story_translation_joyCategory;work_district_ZG;0,0224;0,1148816099677101
92;story_translation_fearCategory;job_status_edu_parttime;0,0035;0,1467619246331379
93;story_translation_fearCategory;job_status_employed_parttime;0,0052;0,14032209574288051
94;story_translation_fearCategory;job_status_employed_fulltime;0,0341;-0,10665339131085158
95;story_translation_fearCategory;country_CH;0,018;0,11899975465542907
96;story_translation_disgustCategory;job_status_edu_parttime;0,0083;0,13269033971247485
97;story_translation_disgustCategory;job_status_employed_parttime;0,0228;0,11451650606710738
98;story_translation_disgustCategory;job_status_employed_fulltime;0,0002;-0,18935105658810902
99;story_translation_disgustCategory;gender_f;0,0425;0,10210710001806138
100;story_translation_disgustCategory;registration_ageKat_40-49;0,0058;-0,13848292026985098
101;story_translation_disgustCategory;country_CH;0,0066;0,1363765088778442
102;story_translation_disgustCategory;country_DE;0,0327;-0,10747001007737458
103;story_translation_disgustCategory;work_country_CH;0,0187;0,11823957045489468
104;story_translation_disgustCategory;work_country_DE;0,008;-0,13326105794660764
105;story_translation_disgustCategory;work_district_AG;0,0487;0,09925780902519388
106;story_translation_disgustCategory;work_district_BS;0,02;0,11701757632746079
107;story_translation_disgustCategory;work_district_SG;0,032;-0,10792796078033493
108;story_translation_disgustCategory;job_position_Fachspezialist/-in;0,0343;0,10654117569166165
109;story_translation_disgustCategory;educational_achievement_Doktorat, Habilitation;0,0362;0,10546175371348829
110;story_translation_angerCategory;work_district_NW;0,0461;-0,10041617429285485
111;story_translation_angerCategory;work_district_ZH;0,0072;0,13503528440313536
112;story_translation_angerCategory;educational_achievement_Gymnasiale Maturität, Lehrkräfte-Seminar;0,0364;0,1053497409130008
113;story_translation_angerCategory;educational_achievement_Master, Lizentiat, Diplom, Staatsexamen, Nachdiplom;0,0385;-0,1041957526595142
